1065,,
1050,,
1185,,
1480,,
735,,
1450,,
1290,,
1295,,
1045,,
1045,,
1510,,
1280,,
1320,,
1150,,
1547,,
1310,,
1280,,
1130,,
1680,,
845,,
780,,
770,,
1035,,
1015,,
845,,
830,,
1195,,
1285,,
915,,
1035,,
1285,,
1515,,
990,,
1235,,
1095,,
920,,
880,,
1105,,
1020,,
760,,
795,,
1035,,
1095,,
680,,
885,,
1080,,
1065,,
985,,
1060,,
1260,,
1150,,
1265,,
1190,,
1375,,
1060,,
1120,,
970,,
1270,,
1285,,
520,,
680,,
450,,
630,,
420,,
355,,
678,,
502,,
510,,
750,,
718,,
870,,
410,,
472,,
985,,
886,,
428,,
392,,
500,,
750,,
463,,
278,,
714,,
630,,
515,,
520,,
450,,
495,,
562,1423,1270
680,1320,1000
625,1316,1010
480,1437,1130
450,1324,1180
495,1420,1120
290,1439,960
345,1406,1210
937,1483,970
625,1386,980
428,1410,1050
660,1412,950
406,1375,890
710,1475,910
562,1438,1020
438,1363,1120
415,1430,1200
672,1383,1150
315,1419,1080
510,1364,1160
488,1406,1260
312,1293,1020
680,1371,1010
562,1285,950
325,1350,960
607,1305,1240
434,1339,930
385,1330,940
407,1387,1070
495,1402,960
345,1373,1010
372,1358,1060
564,1368,1040
625,1376,1320
465,1351,1100
365,1348,1000
380,1328,1100
380,1305,980
378,1307,980
352,1422,1280
466,1356,1170
342,1341,900
580,1388,1010
630,1324,1030
530,1305,1070
560,1421,1110
600,1438,1020
650,1390,1010
695,1410,1030
720,1394,1080
515,1305,920
580,1383,940
590,1382,1110
600,1377,1150
780,1374,1180
520,1356,1160
550,1422,1180
855,1329,1020
830,1372,1080
415,1237,880
625,1233,1010
650,1264,1000
550,1367,940
500,1237,870
480,1217,1040
425,1237,980
675,1311,780
640,1237,780
725,1334,1100
480,1221,1510
880,1229,1030
660,1386,860
620,1349,870
520,1299,1390
680,1196,1010
570,1166,970
675,1303,860
615,1184,1120
520,1233,1360
695,1270,1010
685,1200,860
750,1272,860
630,1208,780
510,1305,850
470,1184,940
660,1267,990
740,1216,900
750,1165,880
835,1164,840
840,1208,700
560,1208,810
,1200,860
,1269,800
,1229,880
,1162,980
,1247,1620
,1181,1340
,1229,850
,1237,880
,1229,880
,1208,970
,1260,880
,1234,980
,1182,860
,1251,850
,1242,900
,1225,800
,1272,840
,1222,920
,1161,940
,1146,1070
,1252,880
,1176,1030
,1141,880
,1208,840
,1103,850
,1182,860
,1242,1080
,1277,800
,1200,870
,1145,960
,1156,1190
,1242,1020
,1305,860
,1187,820
,1207,850
,1243,860
,1179,920
,1237,880
,1204,800
,1286,1220
,1288,1040
,1281,980
,1270,1060
,1251,850
,1260,940
,1225,890
,1253,960
,1349,880
,1284,1010
,1293,960
,1336,890
,1352,970
,1362,920
,1225,1120
,1316,1020
,1388,800
,1287,860
,1332,920
,1308,1130
,1350,1230
,1279,1120
,1311,1160
,1323,980
,1258,1030
,1317,930
,1384,890
,1245,970
,1434,980
,1348,890
,1236,880
,1369,1070
,1285,1060
,1296,1060
,1378,900
,1373,880
,1345,1110
,1282,880
,1358,1050
,1340,1120
,1220,960
,1277,860
,1416,910
,1371,950
,1340,1020
,1327,1200
,1317,1200
,1413,960
