14.23,127,1065
13.2,100,1050
13.16,101,1185
14.37,113,1480
13.24,118,735
14.2,112,1450
14.39,96,1290
14.06,121,1295
14.83,97,1045
13.86,98,1045
14.1,105,1510
14.12,95,1280
13.75,89,1320
14.75,91,1150
14.38,102,1547
13.63,112,1310
14.3,120,1280
13.83,115,1130
14.19,108,1680
13.64,116,845
14.06,126,780
12.93,102,770
13.71,101,1035
12.85,95,1015
13.5,96,845
13.05,124,830
13.39,93,1195
13.3,94,1285
13.87,107,915
14.02,96,1035
13.73,101,1285
13.58,106,1515
13.68,104,990
13.76,132,1235
13.51,110,1095
13.48,100,920
13.28,110,880
13.05,98,1105
13.07,98,1020
14.22,128,760
13.56,117,795
13.41,90,1035
13.88,101,1095
13.24,103,680
13.05,107,885
14.21,111,1080
14.38,102,1065
13.9,101,985
14.1,103,1060
13.94,108,1260
13.05,92,1150
13.83,94,1265
13.82,111,1190
13.77,115,1375
13.74,118,1060
13.56,116,1120
14.22,118,970
13.29,102,1270
13.72,108,1285
12.37,88,520
12.33,101,680
12.64,100,450
13.67,94,630
12.37,87,420
12.17,104,355
12.37,98,678
13.11,78,502
12.37,78,510
13.34,110,750
12.21,151,718
12.29,103,870
13.86,86,410
13.49,87,472
12.99,139,985
11.96,101,886
11.66,97,428
13.03,86,392
11.84,112,500
12.33,136,750
12.7,101,463
12,86,278
12.72,86,714
12.08,78,630
13.05,85,515
11.84,94,520
12.67,99,450
12.16,90,495
11.65,88,562
11.64,84,680
12.08,70,625
12.08,81,480
12,86,450
12.69,80,495
12.29,88,290
11.62,98,345
12.47,162,937
11.81,134,625
12.29,85,428
12.37,88,660
12.29,88,406
12.08,97,710
12.6,88,562
12.34,98,438
11.82,86,415
12.51,85,672
12.42,90,315
12.25,80,510
12.72,84,488
12.22,92,312
11.61,94,680
11.46,107,562
12.52,88,325
11.76,103,607
11.41,88,434
12.08,84,385
11.03,85,407
11.82,86,495
12.42,108,345
12.77,80,372
12,87,564
11.45,96,625
11.56,119,465
12.42,102,365
13.05,86,380
11.87,82,380
12.07,85,378
12.43,86,352
11.79,92,466
12.37,88,342
12.04,80,580
12.86,122,630
12.88,104,530
12.81,98,560
12.7,106,600
12.51,85,650
12.6,94,695
12.25,89,720
12.53,96,515
13.49,88,580
12.84,101,590
12.93,96,600
13.36,89,780
13.52,97,520
13.62,92,550
12.25,112,855
13.16,102,830
13.88,80,415
12.87,86,625
13.32,92,650
13.08,113,550
13.5,123,500
12.79,112,480
13.11,116,425
13.23,98,675
12.58,103,640
13.17,93,725
13.84,89,480
12.45,97,880
14.34,98,660
13.48,89,620
12.36,88,520
13.69,107,680
12.85,106,570
12.96,106,675
13.78,90,615
13.73,88,520
13.45,111,695
12.82,88,685
13.58,105,750
13.4,112,630
12.2,96,510
12.77,86,470
14.16,91,660
13.71,95,740
13.4,102,750
13.27,120,835
13.17,120,840
14.13,96,560
